year,tract,Total_Pop,Black,White,Native_Hawaiian_or_Pacific_Islander,Asian,Native_American,Other,MedianRent,Moved in 2015 or later,Moved in 2017 or later,Built 2010 or later,SNAP benefits,Bachelor's degree,Median household income,Mean household income,Total_Housing_Units,Built_2014_or_Later,Built_2010_or_Later,Moved_In_2010_or_Later,Percent_Service_Occupations,Percent_Production_MaterialMoving_Transportation_Construction_Occupations,Percent_Management_Business_Science_Arts_Occupations,Percent_Sales_and_Office_Occupations,NAMELSAD
2013,"Census Tract 405, Erie County, Ohio",5194,404,10120,0,0,0,68,698,,60596,,,884,50714,60596,20.5,,0,,20.5,11.2,31.9,33.3,Census Tract 405
2013,"Census Tract 406, Erie County, Ohio",929,56,1736,0,51,0,32,817,,132411,,,218,111667,132411,13,,0,,13,4.2,53.1,27.4,Census Tract 406
2013,"Census Tract 407, Erie County, Ohio",4238,1986,6520,31,93,102,137,670,,52410,,,219,34562,52410,30.3,,0,,30.3,16.4,23.4,26.6,Census Tract 407
2013,"Census Tract 408, Erie County, Ohio",3899,2271,5690,227,132,72,89,568,,35348,,,267,23698,35348,33.8,,0,,33.8,18.9,20.2,21.7,Census Tract 408
2013,"Census Tract 409, Erie County, Ohio",3455,816,6060,0,115,0,48,609,,44570,,,197,38220,44570,18.8,,8,,18.8,21.6,29.3,16.7,Census Tract 409
2013,"Census Tract 410, Erie County, Ohio",3046,2012,4120,0,6,58,116,556,,40946,,,162,40658,40946,28.8,,0,,28.8,17.3,18.7,25.2,Census Tract 410
2013,"Census Tract 411, Erie County, Ohio",3935,1990,6290,0,0,295,32,648,,44723,,,245,35339,44723,21.9,,0,,21.9,16.7,26.5,23.3,Census Tract 411
2013,"Census Tract 412, Erie County, Ohio",2473,1566,3300,0,33,0,168,613,,41299,,,135,29167,41299,29.5,,0,,29.5,26,20.2,22.1,Census Tract 412
2013,"Census Tract 413, Erie County, Ohio",3891,2066,5588,0,18,290,0,576,,52444,,,225,41528,52444,18.3,,0,,18.3,29,26.4,22.2,Census Tract 413
2013,"Census Tract 414, Erie County, Ohio",2791,1134,4838,0,0,0,28,677,,58189,,,257,48357,58189,15.7,,0,,15.7,21,27,29.6,Census Tract 414
2013,"Census Tract 415, Erie County, Ohio",3427,210,6580,0,81,0,62,825,,82348,,,645,64231,82348,23.4,,0,,23.4,14.8,30.1,27.4,Census Tract 415
2013,"Census Tract 416, Erie County, Ohio",5625,527,10483,0,464,101,80,875,,72848,,,610,61712,72848,24.2,,20,,24.2,11.3,35.9,22.2,Census Tract 416
2013,"Census Tract 417, Erie County, Ohio",6470,28,12799,14,95,123,73,745,,63123,,,455,46635,63123,20.4,,9,,20.4,21.6,26,19.4,Census Tract 417
2013,"Census Tract 418, Erie County, Ohio",6360,102,12532,7,146,249,0,888,,81432,,,419,69670,81432,13.7,,29,,13.7,19.1,37.2,21.8,Census Tract 418
2013,"Census Tract 9901, Erie County, Ohio",0,0,0,0,0,0,0,0,,0,,,0,0,0,0,,0,,0,0,0,0,Census Tract 9901
2012,"Census Tract 401, Erie County, Ohio",5785,124,11512,0,0,36,30,833,,,66818,,469,51776,66818,,,,,19.5,25.8,29.6,25.1,Census Tract 401
2012,"Census Tract 402, Erie County, Ohio",3859,0,7700,0,15,128,0,863,,,62556,,263,50145,62556,,,,,19,31.8,27.5,21.7,Census Tract 402
2012,"Census Tract 403, Erie County, Ohio",6222,83,12134,10,168,138,132,844,,,63739,,496,59818,63739,,,,,12.5,30.6,26.6,30.3,Census Tract 403
2012,"Census Tract 404, Erie County, Ohio",5333,52,10484,0,195,0,0,673,,,84249,,1010,60496,84249,,,,,18.5,21.1,38,22.4,Census Tract 404
2012,"Census Tract 405, Erie County, Ohio",4986,458,9692,0,0,0,60,694,,,66306,,783,57865,66306,,,,,14.3,15.3,34,36.4,Census Tract 405
2012,"Census Tract 406, Erie County, Ohio",1004,60,1906,0,18,0,30,930,,,136232,,216,100917,136232,,,,,11.9,8.4,60.4,19.3,Census Tract 406
2012,"Census Tract 407, Erie County, Ohio",4086,1886,6220,0,83,22,144,666,,,48075,,242,31250,48075,,,,,26.8,24.8,20.8,27.6,Census Tract 407
2012,"Census Tract 408, Erie County, Ohio",4405,2351,6620,153,137,38,131,580,,,35507,,161,24914,35507,,,,,33.6,23.4,20.8,22.1,Census Tract 408
2012,"Census Tract 409, Erie County, Ohio",3615,1006,6270,0,111,38,32,603,,,42748,,150,38700,42748,,,,,19.4,33.3,25.8,21.5,Census Tract 409
2012,"Census Tract 410, Erie County, Ohio",2982,2129,3848,0,5,95,92,545,,,38473,,131,37941,38473,,,,,26.5,31.9,19.7,21.8,Census Tract 410
2012,"Census Tract 411, Erie County, Ohio",3651,1990,5734,0,0,305,0,671,,,48059,,215,34107,48059,,,,,18.3,30.9,24.7,26.2,Census Tract 411
2012,"Census Tract 412, Erie County, Ohio",2512,1544,3488,0,33,0,50,597,,,41697,,175,29357,41697,,,,,28,27.4,24.4,20.2,Census Tract 412
2012,"Census Tract 413, Erie County, Ohio",3674,1902,5208,0,21,303,0,563,,,50403,,226,39207,50403,,,,,17.7,32.8,23.1,26.4,Census Tract 413
2012,"Census Tract 414, Erie County, Ohio",2814,1122,4906,0,0,0,50,666,,,61212,,292,50724,61212,,,,,10.3,27.8,34.3,27.6,Census Tract 414
2012,"Census Tract 415, Erie County, Ohio",3559,274,6682,0,192,0,70,837,,,78636,,628,59231,78636,,,,,21.7,19.5,33,25.9,Census Tract 415
2012,"Census Tract 416, Erie County, Ohio",5624,557,10477,0,460,118,72,811,,,72743,,599,61566,72743,,,,,24.2,16.5,34.5,24.8,Census Tract 416
